       x0    y0  ntremor  t_lin_lin_EW  t_lin_pow_EW  t_lin_PWS_EW  t_lin_lin_NS  t_lin_pow_NS  t_lin_PWS_NS  t_pow_lin_EW  t_pow_pow_EW  t_pow_PWS_EW  t_pow_lin_NS  t_pow_pow_NS  t_pow_PWS_NS  t_PWS_lin_EW  t_PWS_pow_EW  t_PWS_PWS_EW  t_PWS_lin_NS  t_PWS_pow_NS  t_PWS_PWS_NS  t_lin_lin_EW_cluster  t_lin_pow_EW_cluster  t_lin_PWS_EW_cluster  t_lin_lin_NS_cluster  t_lin_pow_NS_cluster  t_lin_PWS_NS_cluster  t_pow_lin_EW_cluster  t_pow_pow_EW_cluster  t_pow_PWS_EW_cluster  t_pow_lin_NS_cluster  t_pow_pow_NS_cluster  t_pow_PWS_NS_cluster  t_PWS_lin_EW_cluster  t_PWS_pow_EW_cluster  t_PWS_PWS_EW_cluster  t_PWS_lin_NS_cluster  t_PWS_pow_NS_cluster  t_PWS_PWS_NS_cluster  cc_lin_lin_EW_cluster  cc_lin_pow_EW_cluster  cc_lin_PWS_EW_cluster  cc_lin_lin_NS_cluster  cc_lin_pow_NS_cluster  cc_lin_PWS_NS_cluster  cc_pow_lin_EW_cluster  cc_pow_pow_EW_cluster  cc_pow_PWS_EW_cluster  cc_pow_lin_NS_cluster  cc_pow_pow_NS_cluster  cc_pow_PWS_NS_cluster  cc_PWS_lin_EW_cluster  cc_PWS_pow_EW_cluster  cc_PWS_PWS_EW_cluster  cc_PWS_lin_NS_cluster  cc_PWS_pow_NS_cluster  cc_PWS_PWS_NS_cluster
24  -15.0 -15.0      231          4.85          4.85          4.85          6.15          6.15          5.80          4.85          4.85          4.85          6.15          6.15          6.15          3.95          4.80          4.80          6.15          6.15          6.15                  5.20                  4.80                  4.85                  5.60                  6.15                  5.60                  5.20                  4.80                  4.85                  6.15                  5.60                  5.60                  5.20                  4.80                  4.80                  6.15                  5.60                  5.60               0.010598               0.436193               0.001314               0.022286               1.070734               0.008343               0.052331               1.630882               0.006286               0.107554               6.421342               0.033355               0.003428               0.092073               0.000651               0.007074               0.368415               0.000950
25  -15.0 -10.0      244          4.45          4.25          4.25          5.45          4.60          4.70          4.45          4.45          4.25          5.45          5.45          4.70          4.45          4.45          4.45          5.45          5.45          5.45                  4.45                  4.25                  4.25                  5.60                  5.60                  4.60                  4.45                  4.45                  4.45                  5.45                  5.45                  5.45                  5.40                  4.45                  4.45                  5.45                  5.45                  5.45               0.013405               0.538200               0.002486               0.013721               0.349625               0.001261               0.082369               2.399498               0.011498               0.094174               2.969008               0.021024               0.007792               0.179323               0.000802               0.008514               0.203825               0.001438
26  -15.0  -5.0      132          5.05          4.85          4.85          4.65          4.65          4.65          5.05          4.85          4.85          5.50          4.45          6.00          5.05          5.05          4.85          5.50          4.65          6.00                  5.05                  5.05                  4.85                  5.50                  5.50                  3.75                  5.05                  5.05                  5.05                  5.50                  4.45                  4.60                  5.05                  5.05                  5.05                  5.50                  5.50                  5.25               0.021390               0.777822               0.002330               0.014343               0.285519               0.002090               0.106848               2.831515               0.027163               0.086499               0.954365               0.001982               0.006995               0.239056               0.000897               0.004763               0.078694               0.000130
27  -15.0   0.0      114          5.40          5.55          4.80          5.90          5.90          5.90          4.70          5.40          5.55          5.05          5.90          6.00          5.40          5.40          4.70          5.05          5.90          5.90                  5.40                  5.55                  5.55                  5.90                  6.05                  5.90                  4.70                  4.70                  5.55                  5.05                  6.05                  6.00                  4.70                  4.70                  4.75                  5.60                  5.05                  5.90               0.022440               0.556988               0.003575               0.012913               0.430221               0.003854               0.105335               2.255457               0.020185               0.054521               1.980556               0.018912               0.008111               0.125181               0.000958               0.004733               0.075641               0.000439
28  -15.0   5.0      231          5.55          5.55          5.55          5.30          5.30          5.30          5.55          5.55          5.55          5.30          5.30          5.30          5.55          5.55          5.55          5.30          5.30          5.25                  5.55                  5.55                  5.55                  5.30                  5.30                  5.30                  5.55                  5.55                  5.55                  5.30                  5.30                  5.25                  5.55                  5.55                  5.55                  5.30                  5.30                  5.30               0.024805               1.157426               0.005696               0.038962               2.459338               0.014328               0.091081               3.960615               0.022940               0.166466              10.449485               0.049358               0.005515               0.231910               0.000930               0.008842               0.578611               0.003417
29  -15.0  10.0      300          5.40          5.40          5.40          5.60          5.60          5.70          5.40          5.40          5.40          5.70          5.60          5.70          5.40          5.40          5.40          5.60          5.60          5.70                  5.40                  5.40                  5.40                  5.75                  5.75                  5.70                  5.40                  5.40                  5.40                  5.70                  5.75                  5.70                  5.40                  5.40                  5.40                  5.70                  5.60                  5.60               0.020484               1.450523               0.004406               0.017773               1.377775               0.004362               0.098616               6.703336               0.011150               0.075124               4.624006               0.012502               0.006314               0.328050               0.001159               0.004175               0.293969               0.000831
30  -15.0  15.0      447          5.90          5.90          5.90          5.75          5.75          5.70          4.55          5.90          5.90          5.75          5.75          5.70          6.05          5.90          5.90          5.60          5.75          5.70                  6.45                  5.90                  4.60                  5.60                  5.75                  5.75                  6.45                  5.90                  5.90                  6.95                  5.75                  5.75                  6.45                  5.90                  5.90                  5.60                  5.75                  5.75               0.031414               0.959715               0.002682               0.037128               0.940075               0.005648               0.163739               2.690029               0.008748               0.178753               3.675420               0.013013               0.011519               0.173521               0.000367               0.013041               0.246706               0.000385
31  -15.0  20.0      635          5.50          5.80          5.50          4.25          4.25          4.25          5.50          5.65          5.65          4.25          4.25          4.25          5.50          5.50          5.80          5.35          4.25          4.25                  5.50                  5.65                  5.65                  6.00                  3.30                  3.45                  5.50                  5.50                  5.65                  4.80                  3.30                  3.35                  5.50                  5.50                  5.50                  6.00                  3.30                  3.30               0.033762               2.045545               0.018671               0.036515               2.149071               0.015173               0.141464               8.105278               0.057786               0.161336               8.344045               0.057121               0.010682               0.501856               0.003594               0.012777               0.581530               0.004027
32  -15.0  25.0      510          4.70          4.85          4.70          4.40          6.40          6.45          4.70          6.35          4.70          4.40          4.40          6.40          4.70          6.35          4.70          6.25          6.40          6.40                  4.70                  5.50                  4.70                  3.45                  6.00                  5.20                  4.70                  4.70                  4.70                  5.60                  5.20                  5.60                  6.30                  4.70                  4.70                  6.25                  6.25                  6.25               0.043495               1.806711               0.026552               0.045181               1.841898               0.029685               0.203633               7.402751               0.108989               0.215396               7.757472               0.115761               0.016829               0.479427               0.003659               0.020604               0.527244               0.002852
33  -10.0 -25.0      130          4.70          4.70          4.70          5.85          5.85          5.85          4.70          4.70          4.70          6.05          5.85          5.85          5.20          4.70          4.70          6.05          5.85          5.85                  5.20                  4.70                  4.80                  5.85                  5.85                  5.85                  4.70                  4.90                  5.85                  5.85                  5.85                  5.85                  5.20                  5.05                  5.20                  6.05                  5.85                  5.85               0.013618               0.174196               0.001112               0.016138               0.434957               0.006737               0.069008               1.477818               0.004031               0.069111               2.136262               0.028143               0.006368               0.102376               0.000513               0.004986               0.097305               0.000871
34  -10.0 -20.0      202          5.10          4.70          5.10          5.45          5.45          6.75          4.70          4.70          5.10          5.90          5.40          5.40          4.70          4.70          4.70          5.90          5.45          5.45                  5.10                  5.10                  5.10                  6.05                  6.75                  4.95                  5.05                  5.10                  5.10                  5.60                  5.30                  5.45                  4.70                  4.70                  5.05                  5.45                  6.05                  5.30               0.023015               1.025092               0.010862               0.004842               0.127345               0.000151               0.128498               4.138347               0.039504               0.039109               0.476124               0.001170               0.010752               0.319332               0.004081               0.002228               0.033296               0.000138
35  -10.0 -15.0      164          5.30          5.30          5.30          5.40          4.25          4.25          5.10          5.30          5.25          5.55          4.25          4.25          5.10          5.30          5.30          5.55          5.50          6.70                  4.80                  3.50                  3.50                  5.50                  5.50                  5.50                  5.10                  5.10                  5.40                  5.55                  3.25                  3.25                  5.05                  5.30                  5.30                  5.55                  5.50                  5.50               0.008383               0.283710               0.001164               0.015918               0.561697               0.002925               0.067090               0.793737               0.003383               0.097740               0.586719               0.005811               0.007047               0.119812               0.000150               0.009700               0.097889               0.001262
36  -10.0 -10.0      153          4.70          4.80          4.80          5.90          5.90          5.90          4.70          4.80          4.70          5.90          5.90          5.95          5.40          4.80          4.70          5.90          5.90          5.90                  4.40                  4.70                  4.40                  5.90                  5.90                  5.90                  5.40                  4.65                  4.40                  5.90                  5.90                  5.90                  5.40                  5.35                  4.40                  5.75                  5.90                  5.90               0.009369               0.181362               0.001841               0.022253               0.405704               0.003272               0.059677               0.497094               0.002927               0.104250               1.535796               0.009616               0.004411               0.035319               0.000214               0.007331               0.206255               0.001608
37  -10.0  -5.0       98          4.80          4.80          4.80          4.60          4.60          4.60          4.45          4.80          4.80          4.60          4.60          4.60          4.45          4.80          4.80          4.60          4.60          4.60                  4.45                  4.45                  4.80                  4.60                  4.60                  4.60                  4.45                  4.45                  4.45                  4.60                  4.60                  4.60                  4.45                  4.45                  4.45                  4.60                  4.60                  4.60               0.052333               1.064193               0.028847               0.047008               1.140130               0.029593               0.248812               5.429797               0.164672               0.240369               5.669627               0.160019               0.018759               0.419824               0.012480               0.015119               0.302956               0.011061
